EL	cash	194.54
FU	check	145.67
MG	cash	148.71
EL	cash	47.12
EL	check	200.74
CL	cash	55.51
FU	credit	188.87
FU	credit	157.2
MG	check	147.1
EL	cash	46.2
EL	check	57.17
MG	check	297.66
KG	credit	261.3
MG	cash	28.17
MG	check	198.44
FU	cash	263.04
MG	credit	95.34
KG	credit	204.22
KG	check	187.89
CL	credit	266.7
MG	credit	298.52
MG	cash	164.88
CL	check	59.35
FU	credit	21.46
EL	credit	156.07
EL	credit	113.94
EL	check	74.42
CL	cash	19.46
CL	credit	68.55
MG	check	131.26
FU	credit	9.7
CL	check	196.19
KG	credit	244.71
MG	check	257.22
EL	credit	81.12
CL	cash	156.21
EL	cash	171.58
CL	cash	44.99
EL	check	104.98
CL	cash	132.68
EL	credit	254.8
FU	credit	262.38
MG	credit	229.09
FU	cash	166.3
CL	cash	10.04
KG	check	258.95
FU	credit	207.74
FU	cash	156.37
EL	cash	174.99
MG	check	246.66
EL	check	106.36
KG	cash	192.86
KG	credit	56.47
MG	cash	33.56
EL	credit	238.13
KG	check	106.88
CL	check	107.32
FU	check	96.6
EL	credit	247.78
KG	cash	168.14
KG	cash	299.83
MG	credit	41.37
FU	cash	268.9
KG	cash	261.55
FU	cash	205.52
CL	check	270.58
FU	check	293.25
CL	check	30.07
MG	cash	293.85
FU	check	134.03
FU	cash	20.33
FU	check	214.21
KG	check	186.67
CL	credit	226.17
FU	check	181.05
FU	credit	24.24
MG	credit	157.66
CL	credit	74.04
KG	cash	297.75
CL	check	185.17
MG	check	199.06
CL	cash	171.6
FU	check	72.86
CL	credit	282.29
KG	cash	42.61
EL	check	199.99
MG	credit	173.85
KG	check	60.4
EL	cash	188.63
MG	cash	255.02
CL	check	35.95
KG	credit	212.21
KG	credit	266.69
MG	cash	86.95
KG	check	215.14
CL	credit	38.13
EL	cash	204.61
KG	credit	216.37
EL	credit	79.54
KG	cash	288.52
